Sample	OTU1	OTU2	OTU3	OTU6	OTU7	OTU9	OTU15	OTU17	OTU18	OTU20	OTU21	OTU27	OTU29	OTU40	OTU52	OTU53	OTU61	OTU69	OTU104	OTU116	OTU401
N16	59.29450834278309	0.020249473513688644	6.5527296290296455	0.1376964198930828	0.9152762028187267	0.10124736756844323	2.0694961930989795	0.3523408391381824	0.27944273448890333	0.004049894702737728	0.29969220800259194	0.8626275716831363	0.13364652519034506	0.04049894702737729	0.17414547221772234	0.4252389437874616	0.07694799935201685	0.31589178681354285	0.032399157621901827	0.016199578810950913	0.0566985258383282
N17	48.47353910295206	0.04707148140676484	0.13448994687647098	0.18828592562705937	12.826978683343421	3.9708156815278053	0.7430569564925023	0.0806939681258826	2.625916212763096	0.010086746015735325	2.901620603859861	1.3146392307175039	0.010086746015735325	1.0254858449330913	0.7228834644610316	0.3160513751597068	0.2521686503933831	0.016811243359558872	0.06388272476632371	0.013448994687647098	0.010086746015735325
N18	30.61635300508036	14.838482921685783	7.837811930855993	0.3067386650477682	5.329584305204971	2.6264498194715147	7.032622935105601	0.17254049908936958	1.6646962967696584	0.012780777710323673	1.8851647122727417	0.3323002204684155	0.1885164712272742	1.7094290187557912	0.8754832731571717	0.13419816595839856	0.04153752755855194	0.2588107486340544	0.019171166565485512	0.3962041090200339	0.025561555420647347
N19	1.4383115639483663	3.868694219941012	2.3116405561726743	1.5206649557589917	16.307886773662236	13.015666296395603	0.09001417244417206	0.11299651434481174	8.63369977400697	0.4194277396866741	11.925920251273604	1.8807216455356803	0.2030106867889838	6.737656567204198	0.09767495307771862	1.9534990615543721	0.27770329796606275	0.08809897728578542	0.12448768529513157	0.16470678362125102	0.015321561267093116
N20	25.805251408525564	11.746571701924099	5.129159136813011	0.7600722865950887	15.424683746146487	3.810991814606144	2.5778675454448816	0.07441267141490379	2.7373232699053895	0.24981396832146277	3.263527160625066	1.2969065589454662	0.10630381630700543	0.46242160093547363	0.8185393855639418	0.4889975550122249	0.2657595407675135	0.20729244179866058	0.07972786223025406	0.026575954076751358	0.058467098968852986
N21	13.287805586835699	11.119183406589416	3.59984016854953	5.708525554869411	2.8624359766064877	14.172327363870826	10.01307711867485	0.22884957680990953	1.6273747684260234	1.3440371971375642	0.4250063569326891	1.8889171419230628	0.46496421955029243	0.33419303280177265	0.5321660794071706	0.23974717570561954	0.13621998619637474	0.1289549202659014	0.4595154201024374	0.21431944494896293	0.03269279668712993
N22	19.150048681980454	17.87530200858245	5.794958710468428	0.8059572319786521	0.036060726263026935	6.106883992643612	3.0489344055389274	0.06671234358659985	2.8451913021528252	0.3227435000540911	0.2001370307597995	3.6673758609498397	0.5138653492481339	0.08113663409181061	0.8384118856153764	0.2037431033861022	0.1334246871731997	0.1694854134362266	0.33716779055930185	0.10457610616277811	0.0306516173235729
N23	24.19226484163616	18.66942543371001	3.994906891612287	0.41381505650167116	0.01591596371160274	4.173961483367818	5.292057934107911	0.05968486391851026	2.5067642845774314	0.23078147381823969	0.03183192742320548	2.809167595097883	0.6525545121757123	0.11936972783702052	0.9509788317682635	0.15915963711602737	0.11539073690911984	0.19099156453923286	0.24669743752984247	0.11936972783702052	0.05570587299060958
N24	4.65697559692166	30.41504966125107	9.412615931066238	0.9471814773399987	0.03946589488916661	5.959350128264158	5.821219496152075	0.11839768466749984	2.5718608169440245	0.6446096165230546	0.03946589488916661	1.6049463921594422	0.3288824574097218	0.09866473722291652	0.23021772018680525	0.21706242189041638	0.06577649148194435	0.17759652700124975	0.5064789844109715	0.1315529829638887	0.11839768466749984
N25	16.31232519504553	26.46941307593632	7.944819464597397	0.3574958467394276	0.014720417218682313	2.2311946670031335	8.9058524173028	0.006308750236578134	0.7717704456080584	0.21449750804365653	0.00420583349105209	0.4605387672702038	0.14930708893234917	0.014720417218682313	0.9000483670851471	0.07780791958446365	0.03364666792841672	0.24393834248102117	0.5551700208188758	0.1934683405883961	0.03995541816499485
