Sample	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	N_1	N_2	N_3	N_4	N_5	N_6	N_7	N_8	N_9	N_10	N_11	N_12	N_13	N_14	N_15	N_16	N_17	N_18	N_19	N_20	N_21	N_22	N_23	N_24	N_25	N_26	SACa_21_1	SACa_21_2	SACa_21_3	SACa_21_4	SACa_21_5	SACa_21_6	SACa_21_11	SACa_21_12	SACa_21_13	SACa_21_14	SACa_21_15	SACa_21_16	CSF_22_6	CSF_22_7	CSF_22_8	CSF_22_9	CSF_22_10	CSF_22_11	CSF_22_12	CSF_22_13	CSF_22_14	CSF_22_15	CSF_22_16	CSF_22_17	CSF_22_18	CSF_22_19	CSF_22_20	CSF_22_21	CSF_22_22	CSF_22_23	CSF_22_24	CSF_22_25	CSF_22_26	CSF_22_27	CSF_22_28	CSF_22_29	CSF_22_30	CSF_22_31	CSF_22_32	W1	W2	W3	W4	W_1	W_2	W_2	SACa_21_W1	SACa_21_W2	SACa_21_W3	SACa_21_W4	CSF_22_W1	CSF_22_W2
Cytophagales_unclassified	2.401082178	1.610712939	0.364933906	0.667465343	0.416505646	0.663777497	1.12	0.451068837	0.097795164	0.084937712	8.833645085	0.667205823	0.975134081	3.661811376	1.722232219	2.559533452	0.817026427	7.87295907	0.574558548	3.077495482	11.32260525	4.924092171	7.090561834	7.222258765	10.80688916	7.055476529	3.916356548	2.52303331	4.58001181	2.528891425	7.92005396	2.611581798	1.796361413	1.632898258	1.740850643	0.689510196	0.281063356	1.095716744	2.003853565	1.120515369	0.559446921	2.429820525	0.363019374	1.258061586	3.315164896	3.989531469	3.365384615	0.704491131	0.517233487	1.037389237	0.334647133	0.307717556	0.729251894	0.572153151	3.3126294	6.675674689	4.040800314	1.402968129	1.675682808	0.630001703	1.247920133	1.331351386	2.005843353	1.567299856	1.236817404	1.469721216	0.617736363	0.285700681	1.041173687	2.123356926	1.083488434	2.630258426	2.479429512	1.048358491	0.793301014	0.474078605	1.729717665	0.675219446	1.827083228	4.333387773	1.483952606	1.869235837	3.979825768	0.89589382	4.811683321	1.535764376	0.197153299	0.425071489	0.203579608	0.358668706	0.452517127	3.397544454	0.055306136	4.138010528	5.27413933	0.423033756	0.05800464	0.038555456	0.019893899	0.183189655	0.169759179	0.203646237	0.18470379	0.027229408	0.065368022	0.022568269	0.036416606	0.203007519	0.188742089
Nostocales_unclassified	0	0	0	0.005704832	0	0	0	0.004902922	0	0.003145841	0.012067821	0.013478906	0.004063059	0.012206038	0.002570496	0.008099789	0.016811243	0	0	0.010630382	0.021795198	0.014424291	0.011936973	0	0.018926251	0	0	0	0	0	0.003550002	0	0	0	0	0.012612991	0	0.018111021	0.004816956	0.003426653	0.004548349	0.018407731	0.027621039	0.018166954	0.013798813	0.019149751	0.015508685	0.10064159	0.027463725	0.050428643	0.018591507	0.073852214	0.078261179	0.040205357	0.069013112	0	0.011208877	0.154083205	0.290275762	0.153243657	0.207986689	0.04200866	0.179795483	0.043884396	0.165645188	0.18108313	0.052350539	0.152373696	0.970184572	0.269632626	0.023265089	0.033453207	0.065825562	0.015764789	12.14925812	1.417138196	3.308782502	5.577312627	0.075707869	0.027219772	0.2013114	0.082345191	0.247592847	2.430526752	0.146041507	0.610098177	2.38988267	5.873715125	10.48434982	0.210981592	1.502105462	0.010584251	37.83915674	0.08836977	0.02318303	6.224639558	0.093699804	0.08996273	0.019893899	1.686422414	0	0	0	0	0	0	0.012138869	1.142857143	1.287887199
Xanthomonadaceae	0.104528546	0.086759713	0.105425351	0.353699584	0.167461033	0.032914587	0.0384	0.245146107	0.183736368	0.311438279	0.274542931	0.444803882	0.199089875	1.480999268	1.236408503	0.368540418	0.114316455	0.185321277	0.153215613	0.122249389	0.248828508	0.115394324	0.059684864	0.177596527	0.008411667	0.036984353	0.076791305	0.070871722	0.095955123	0.042802112	0.386950193	2.847410254	2.606635071	4.292501775	3.580613254	1.286525121	0.80805715	2.843430227	1.19460501	5.318164685	2.210497589	3.345605154	1.191650554	0.599509492	1.065958328	0.676624537	0.620347395	3.012957605	0.965807662	4.758302716	1.650925857	0.201042137	0.241898189	0.519576916	2.933057281	1.332943797	1.871882531	0.340604979	0.052777411	0.136216584	0.686356073	0.171266076	0.573098101	0.551689549	0.50245707	0.412701086	0.125641294	0.138088662	0.236630383	2.752499719	11.77213507	0.978506314	0.696653867	0.35470776	1.8143088	0.774838151	0.412900346	0.459149223	1.403119164	4.20817682	1.754285057	0.64640975	2.47134342	0.837826628	2.217524981	1.276297335	0.278899788	0.54872865	7.685130206	9.198797405	0.641065929	1.037256562	0.621380701	5.233027241	0.985278776	0.552533886	0.169552026	0.167073641	0.145888594	0.113146552	0.20529017	0.227889837	0.24969216	0.081688223	0.078441626	0.022568269	0.048555475	0.176691729	0.3219718
Leptolyngbyaceae	0.09223107	0.513013957	2.493715027	2.378914941	3.306281936	1.684129683	2.2144	1.627770151	1.955903272	1.289794891	0.929222229	2.02857528	2.998537299	0.968345675	1.557720484	0.708731573	2.978952323	1.821260824	10.71360172	3.311363878	2.130480584	4.682485305	3.7720834	2.986252713	1.160810044	2.247510669	7.354244196	5.480746515	5.462060821	7.558139535	2.627001314	0.017468775	0.007644091	0.005461198	0	0.025225983	0.421595035	0.072444082	0.269749518	0	0.013645047	0.018407731	0.027621039	0.099918249	0.117289913	0.280863015	0.120192308	0.113221789	0.398224012	0.097255241	0.096675838	1.189841218	0.437551137	0.281437496	0.724637681	0	0.005604439	1.232665639	1.174297401	1.038651456	0.811148087	1.631874879	1.174289246	0.175537584	2.169951963	2.042449255	1.225002618	2.228465311	0.733554188	0.235928547	0.033235842	0.066906415	0.054854635	0.035470776	5.744086969	0.836009584	10.28345051	5.820391627	0.04037753	0.070771408	0.074772806	2.840909091	2.196240257	2.438822066	0.084550346	0.371669004	3.842085016	2.836386119	6.022563407	0.332296007	0.791904971	0.021168501	5.058884768	0.01921082	0.057957575	3.751187085	0.035695163	0.025703637	0	0.021551724	0.003947888	0.00484872	0	0.013614704	0.026147209	0.090273076	0.084972081	0.612781955	0.527367603
SM1A07_fa	0.073784856	0.071671068	0.064877139	0	0.004293873	0.005485764	0.0512	0.034320455	0.011853959	0.009437524	0.003016955	0.013478906	0.004063059	0.012206038	0.010281983	0	0	0.006390389	0.005745585	0	0.813687384	0.589592874	2.455037403	1.453660462	5.989106891	7.479374111	1.210939807	0.628395937	3.675819309	0.645598516	6.769853385	0.200890908	0.160525913	0.311288297	0.168150346	0.512928316	0.058554866	0.244498778	0.467244701	1.363807696	0.077321932	0.009203866	0	0.009083477	0.006899407	0	0	0.012580199	1.313681512	0.003602046	0	2.572518771	2.600405535	0.779365374	0.034506556	0.040170909	0.240990865	0.883951018	0.554162818	0.119189511	0.083194676	0.287597751	0.331497921	0.244498778	0.242946276	0.273730312	0.115171186	0.057140136	0.14197823	0.022469385	0.03988301	0.029271556	0.159078442	0.067000355	0.807991773	0.178416679	1.389353867	0.580688724	0.93877757	1.094234852	0.189807891	1.399868248	2.37047226	0.962256325	0.257494235	0.666199158	0.836699365	1.267485895	0.313851896	0.137138035	0.245113444	0.222269263	0.045546229	0.007684328	0	0.034533368	0	0.012851819	0.0066313	0	0	0	0	0	0	0	0	0.071428571	0.049961141
Peptostreptococcaceae	0.015371845	0.007544323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001803036	0	0	0	0	0	0	0.003690582	0	0	0.026203162	0.015288182	0	0.009891197	0	0	0.00905551	0.414258189	0.003426653	0	0.156465716	2.659511502	1.067308566	1.600662343	0.287246266	0.186104218	0.798842622	0.480615187	13.15467185	44.04328103	0.221556641	0.16363701	1.014412074	0.069013112	0.003651901	0.005604439	0	0	0.017027073	0	0.022620048	0	0.012538399	0	0	0	0.004761678	0	0	0	0	0	0	0	0	0.005579734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013013208	0	0	0.004316671	0	0	0	0	0.007895776	0.0242436	0.010261322	0.027229408	0	0	0	0.007518797	0.022204952
Microscillaceae	1.131367787	0.761976613	0.125699457	0.08557248	0.154579415	0.104229524	0.192	0.245146107	0.486012328	0.849377123	1.161527786	2.729478366	5.066634162	0.82187322	1.519163047	0.623683784	2.555308991	1.035242995	3.024093155	1.477623047	2.497366414	4.024377051	3.035970078	2.887587976	1.278573381	1.741109531	0.897867565	0.458303803	0.22512548	1.259095449	0.841350421	3.415145428	1.834581868	13.89328819	4.154302671	3.893210006	1.674669165	3.296205741	5.284200385	3.388959326	1.350859638	2.052462034	0.619500454	1.516940685	1.945632676	2.17668837	1.461693548	4.39048937	1.345722525	2.870830632	1.245630996	1.423706561	1.800007115	0.439166203	0.138026225	10.17054377	10.31216724	4.906333631	5.871487004	4.682445088	4.450915141	4.278420474	6.101809192	4.758322362	4.693280327	5.154552346	4.313684431	5.142612257	6.980596309	2.471632401	1.279579899	1.028686125	1.064179923	1.115358846	5.72205083	2.788397818	6.578506863	9.014179608	1.544440519	0.843812946	1.466697343	3.022068511	0.618982118	3.849025301	0.491929285	4.270687237	3.866128102	3.53968622	4.911358046	0.78590643	3.098485325	0.8361558	2.169952502	2.777884505	1.049032108	6.250539584	0.10708549	0.282740008	0.066312997	0.140086207	1.369917094	1.178238945	1.132165823	0.585432267	0.627533011	0.631911532	0.764748725	1.033834586	0.860441879
Flavobacteriaceae	0.104528546	0.550735571	4.075095288	0.684579839	4.933659668	1.267211586	1.9072	1.343400667	1.659554291	1.305524097	0.681831895	18.64806578	13.66812937	9.239970706	10.62385934	15.18305524	1.136440051	1.405885548	7.227946528	1.43510152	1.006211631	0.795139014	0.47349992	0.427547195	0.176645007	0.26742532	0.389863548	0.231514292	0.321080602	0.349550578	0.546700273	4.070224474	0.787341385	1.223308394	1.96834817	0.55076729	0.491860874	0.66105225	0.963391137	0.472878045	0.154643864	0.082834791	0.173617962	0.131710419	0.151786946	0.127665007	0.170595533	1.918480312	0.20140065	1.433614293	0.487097494	0.192836335	0.355732631	0.080410713	0.207039337	0.09129752	0.056044387	0.997486011	1.002770814	0.851353652	2.974209651	1.541394688	2.702550848	1.786721836	2.142344432	1.052808894	0.952779814	0.861863721	2.011358258	1.864958993	0.644775326	0.158902735	0.120680197	0.390178536	1.946525635	1.784166794	1.233121303	1.505739365	0.222076414	0.293973542	0.28183596	0.304677207	0.298028427	1.47656574	0.172943889	0.53997195	2.298518946	1.76984311	4.979217915	1.355556728	1.715794105	0.148179509	0.598607587	0.119107081	0.336153935	2.637485971	5.122255934	5.063616502	5.079575597	4.913793103	20.9119621	21.13557021	21.42563962	1.211708645	1.228918813	0.970435568	1.153192522	9.45112782	9.686910181
A4b	1.982967996	2.327423614	1.435406699	0.279536768	1.236635321	1.71704427	3.1488	3.030005884	1.961830251	0.827356235	5.119773125	1.118749158	1.799934991	2.140125315	2.560213865	1.591608618	0.817026427	0.533597469	5.496610105	1.684915488	3.668858295	5.490245574	7.564061754	5.025323949	9.175025761	4.449502134	3.290212062	4.091660761	3.557720697	6.623626766	7.543753772	5.974320901	3.470417367	3.265796516	6.211671612	1.294933782	1.709802085	2.200488998	1.098265896	1.031422403	0.050031838	0.791532444	0.453774218	0.404214733	0.507106389	0.9000383	0.728908189	0.578689143	0.8788392	0.172898206	0.182196773	4.090592049	6.353384796	3.194779489	0.172532781	1.194171566	1.558033963	4.330549023	3.430531732	2.17946535	1.331114809	4.378594972	1.68558265	2.802332142	1.319639998	2.787837952	2.052141137	1.418980049	2.508282063	2.595214021	2.595719224	3.964205068	2.41360395	1.931186695	4.495372411	2.875057348	2.611315701	4.321404456	3.442184424	3.293592466	3.761647302	1.65513834	2.407152682	1.435089175	2.244427364	3.197755961	4.106558954	3.191900456	2.655017389	0.348119627	2.627113318	4.318374259	1.02153686	4.410804165	1.211313319	1.489251489	0.111547385	0.154221822	0.066312997	0.070043103	0.110540861	0.067882079	0.071829252	0.353982301	0.300692901	0.315955766	0.315610585	0.368421053	0.333074276
Family_XII	0.421188551	2.195397963	0.904225124	0.062753152	0.004293873	0.279773987	0.0192	0.014708766	0.020744429	0.012583365	0	0.006739453	0	0	0	0	0	0	0.015321561	0	0.001816266	0	0	0	0	0	0	0.009449563	0.007381163	0.007133685	0.003550002	0.017468775	0	0	0.009891197	0	0.011710973	0.00905551	0.028901734	0	0	2.517257248	9.742335162	4.959578527	1.973230302	2.661815396	2.000620347	0.660460435	4.073785874	0.216122758	0.237971295	1.673983506	2.835189072	10.04515371	4.830917874	0.657342147	0.056044387	0.016219285	0.039583058	0.255406096	0.083194676	0.365152201	0.516912013	0	0.022086025	0.029478649	0.031410324	0.014285034	0.023663038	0.056173464	0.009970752	0.004181651	0.010970927	0.047294368	0	0	0	0	0	0	0	0.016469038	0	0	0.04611837	0	0.004808617	0	0	0.015823619	0.00628496	0	0.195198126	0.011526492	0.191259998	0	0.017847582	0.012851819	0.0066313	0.010775862	0.003947888	0.01454616	0	0	0	0	0	0.018796992	0.011102476
